address|name|type
00401000|D3DXMatrixIdentity|function
004010b0|ZunTimer::NextTick|function
004010f0|AnmVm::Initialize|function
00401170|AnmVm::AnmVm|function
004011b0|AnmVmBase::AnmVmBase|function
004012b0|GameManager::RegenerateGameIntegrityCsum|function
00401390|GameManager::SetBombsRemainingAndComputeCsum|function
00401400|AsciiManager::UpdateScripts|function
004014a0|AsciiManager::AsciiManager|function
00401690|RetryMenu::RetryMenu|function
00401720|PauseMenu::PauseMenu|function
004017b0|AsciiManager::IncrementCapped|function
004017e0|AsciiManager::OnUpdate|function
00401970|AsciiManager::OnDrawMenus|function
004019e0|AsciiManager::OnDrawPopups|function
00401a00|AsciiManager::InitializeVms|function
00401ba0|AsciiManager::InitializeOtherVms|function
00401d70|AsciiManager::AddedCallback|function
00401de0|AsciiManager::DeletedCallback|function
00401e30|AsciiManager::RegisterChain|function
00401f10|AsciiManager::CutChain|function
00401f40|AsciiManager::AddString|function
00402060|AsciiManager::AddFormatText|function
004020b0|AsciiManager::DrawStrings|function
004024f0|AsciiManager::CreatePopup1|function
00402630|AsciiManager::CreatePopup2|function
00402780|RetryMenu::OnUpdate|function
00403a20|RetryMenu::OnDraw|function
00403b60|PauseMenu::OnUpdate|function
00404560|PauseMenu::OnDraw|function
00404690|AsciiManager::DrawPopups|function
00404e70|D3DXVec3Length|function
00404eb0|D3DXVec3Cross|function
00404f30|AnmManager::ExecuteAnmIdx|function
00404fe0|GameManager::CheckGameIntegrity|function
00405080|Stage::Stage|function
004052d0|Stage::InterpCubic|function
00405370|Stage::UpdateScriptAndCamera|function
00405690|Stage::OnUpdate|function
00406930|Stage::SmoothBlendColor|function
004069d0|Stage::OnDrawHighPrio|function
00406de0|Stage::OnDrawLowPrio|function
00407000|Stage::AddedCallback|function
00407410|Stage::DeletedCallback|function
004074c0|Stage::RegisterChain|function
004075d0|Stage::CutChain|function
00407610|Stage::LoadStageData|function
004077f0|Stage::UpdateObjects|function
00407900|Stage::RenderObjects|function
00408180|Stage::SetupCameraStageBackground|function
004082b0|Stage::UpdateCamera|function
004083f0|BombData::DarkenViewport|function
004084f0|BombData::SpawnBombInvulnEffect|function
00408610|BombData::ComputeBombCherryDrain|function
00408710|BombData::BombReimuACalc|function
00408e10|BombData::BombReimuADraw|function
004091b0|BombData::BombReimuACalcFocus|function
00409990|BombData::BombReimuADrawFocus|function
00409dd0|BombData::BombReimuBCalc|function
0040a280|BombData::BombReimuBDraw|function
0040a3a0|BombData::BombReimuBCalcFocus|function
0040a6b0|BombData::BombReimuBDrawFocus|function
0040a7c0|BombData::BombMarisaACalc|function
0040aba0|BombData::BombMarisaADraw|function
0040af10|BombData::BombMarisaACalcFocus|function
0040b5d0|BombData::BombMarisaADrawFocus|function
0040b7d0|BombData::BombMarisaBCalc|function
0040bca0|BombData::BombMarisaBDraw|function
0040be20|BombData::BombMarisaBCalcFocus|function
0040c160|BombData::BombMarisaBDrawFocus|function
0040c2e0|BombData::BombSakuyaACalc|function
0040c970|BombData::BombSakuyaADraw|function
0040ca50|BombData::BombSakuyaACalcFocus|function
0040d3b0|BombData::BombSakuyaADrawFocus|function
0040d4c0|BombData::BombSakuyaBCalc|function
0040d9a0|BombData::BombSakuyaBDraw|function
0040da80|BombData::BombSakuyaBCalcFocus|function
0040e280|BombData::BombSakuyaBDrawFocus|function
0040e420|EclManager::Load|function
0040e4f0|EclManager::Unload|function
0040e530|EclManager::CallEclSub|function
0040e5b0|EclManager::GetVarValue|function
0040ec00|EclManager::GetVar|function
0040edf0|EclManager::GetFloatVarValue|function
0040f3c0|EclManager::GetFloatVar|function
0040f6b0|EclManager::MoveDirTime|function
0040f8f0|EclManager::MovePosTime|function
0040fb30|EclManager::MathLerp|function
0040fb90|EclManager::MathCubicInterp|function
0040fc90|EclManager::BeginSpellcard|function
004101a0|EclManager::EndSpellcard|function
00410520|EclManager::RunEcl|function
00417af0|sincosf|function
00417b20|Bullet::Initialize|function
00417b90|EnemyEclInstr::ExInsSetPosToBoss|function
00417c30|EnemyEclInstr::ExInsAliceCurveBullets|function
00417e50|EnemyEclInstr::ExInsTurnBulletsIntoOtherBullets|function
00418110|EnemyEclInstr::ExInsNoOp|function
00418120|EnemyEclInstr::ExInsDespawnLargeBulletAndSavePos|function
00418260|EnemyEclInstr::ExInsCopyMainBossMovement|function
004182d0|EnemyEclInstr::ExInsSplitBulletsOrShootBackwards|function
004185d0|EnemyEclInstr::IsPointInRotatedRect|function
00418880|EnemyEclInstr::ExInsReflectBulletsFromLasers|function
00418b40|EnemyEclInstr::ExInsShootBulletsAlongLaser|function
00418e80|EnemyEclInstr::ExInsEffect1eAccel|function
00418eb0|EnemyEclInstr::ExInsYoumuSetGameSpeed|function
00418fc0|EnemyEclInstr::ExInsYoumuRestoreGameSpeed|function
004190f0|EnemyEclInstr::ExInsBurstLargeBullets|function
004194e0|EnemyEclInstr::ExInsYoumuCurveBulletsBelow|function
00419610|EnemyEclInstr::ExInsYoumuRedirectBulletsToPlayer|function
004196e0|EnemyEclInstr::ExInsFlashScreen|function
00419710|EnemyEclInstr::ExInsYuyukoTransformButterflyBullets|function
00419880|EnemyEclInstr::ExInsYuyukoButterflySpawnEnemy|function
004199c0|EnemyEclInstr::ExInsYuyukoCountButterflyBullets|function
00419a50|EnemyEclInstr::ExInsBurstLargeBullets2|function
00419d70|EnemyEclInstr::ExInsYuyukoFadeOutMusic|function
00419d90|EnemyEclInstr::ExInsYuyukoPlayResurrectionButterflyBgm|function
00419dc0|EnemyEclInstr::ExInsSpawnBulletsWithDirChange|function
00419ff0|EnemyEclInstr::ExInsSpawnBulletsWithDirChange2|function
0041a210|EffectManager::EffectManager|function
0041a2f0|Effect::Effect|function
0041a350|EffectManager::Reset|function
0041a370|EffectManager::InitDeceleratingBurstFast|function
0041a4f0|EffectManager::UpdatePhysics|function
