address|name|type
0048d46c|c_dfDIJoystick2|global
0048d674|c_dfDIKeyboard|global
004903f8|IID_IDirectSoundNotify|global
00490408|GUID_SysKeyboard|global
004904a8|IID_IDirectInput8A|global
004904b8|IID_IShellLinkA|global
004904c8|CLSID_ShellLink|global
004904d8|IID_IPersistFile|global
004904e8|GUID_NULL|global
00495120|g_SeekModes|global
0049512c|g_TextureFormatD3D8Mapping|global
00495144|g_TextureBytesPerPixel|global
00495160|g_BulletTypeInfos|global
00495248|Pbg4File|vtable
0049526c|IPbg4File|vtable
0049528c|CStreamingSound|vtable
00495290|CSound|vtable
00496c0c|DummyMidiTimer|vtable
00497260|MidiTimer|vtable
00497264|MidiOutput|vtable
0049d9c0|lpCriticalSection_0049d9c0|global
0049dc74|dwTlsIndex_0049dc74|global
0049de78|lpMultiByteStr_0049de78|global
0049de7c|lpMultiByteStr_0049de7c|global
0049decc|lpBuffer_0049decc|global
0049ea70|g_AccessModes|global
0049ea7c|g_DemoReplayPaths|global
0049ea88|SOUND_BUFFER_IDX_VOL|global
0049ebb8|g_SFXList|global
0049ec30|g_AlphabetList|global
0049ec34|g_CharacterList|global
0049ec50|g_BombData|global
0049ecb0|g_ShtFireFuncs|global
0049ecc8|g_ShtUpdateFuncs|global
0049ece0|g_ShtDrawFuncs|global
0049ece8|g_ShtHitFuncs|global
0049ecf8|g_CherryBonusFullPower|global
0049ed74|g_PowerLevels|global
0049ed98|g_FormatInfoArray|global
0049ee40|g_ControllerMapping|global
0049ee58|g_BulletColorsArray|global
0049eec8|g_DefaultBulletColors|global
0049ef38|g_BulletColor|global
0049ef40|g_BulletSpriteOffset16Px|global
0049ef80|g_BulletSpriteOffset32Px|global
0049efa0|g_ItemDropTable|global
0049efc0|g_EffectMapping|global
0049f158|g_EclExInstr|global
0049f1b8|g_SpellcardScore|global
0049f3ec|g_EclInterpFuncs|global
0049f40c|g_StagePracticeStrings|global
0049f424|g_StageReplayStrings|global
0049f440|g_PhantasmReplayString|global
0049f444|g_DifficultyStrings|global
0049f45c|g_CharacterAndShottypeReplayStrings|global
0049f474|g_LastJoystickInput|global
0049f478|g_KeyConfigStrings|global
0049f4a8|g_OptionsStrings|global
0049f4cc|g_MainMenuStrings|global
0049f4ec|g_CharactersAndShotTypesStrings|global
0049f518|g_DifficultyNameTable|global
0049f530|g_ShooterTable|global
0049f548|g_ShooterTable2|global
0049f560|g_EclPaths|global
0049f588|g_AnmStageFiles|global
0049f5d0|g_RankArray|global
0049f618|g_SpellcardTimeColors|global
0049f628|g_BadEndingPaths|global
0049f634|g_NormalEndingPaths|global
0049f64c|g_StageFiles|global
0049f93c|lpWideCharStr_0049f93c|global
0049f990|lpWideCharStr_0049f990|global
0049fbc4|lpTopLevelExceptionFilter_0049fbc4|global
0049fbf0|g_Gui|global
0049fc88|g_JoystickCaps|global
0049fe1c|g_FocusButtonConflictState|global
0049fe20|g_Rng|global
0049fe28|g_TextBufferSurface|global
0049fe30|g_LzssTree|global
004b7e40|g_LzssDictionary|global
004b9e44|g_AnmManager|global
004b9e48|g_ReplayManager|global
004b9e4c|g_CurFrameRawInput|global
004b9e50|g_CurFrameGameInput|global
004b9e54|g_LastFrameRawInput|global
004b9e58|g_LastFrameGameInput|global
004b9e5c|g_IsEighthFrameOfHeldInput|global
004b9e60|g_NumOfFramesInputsWereHeld|global
004b9e64|g_LastFileSize|global
004b9e68|g_UnusedPbg4ArchiveArray|global
004b9fa8|g_PrimitivesToDrawNoVertexBuf|global
004ba018|g_PrimitivesToDrawVertexBuf|global
004ba078|g_PrimitivesToDrawUnknown|global
004ba0d8|g_SoundPlayer|global
004bdad8|g_Player|global
00575950|g_Supervisor|global
00575c20|g_GameWindow|global
00575c70|g_ItemManager|global
00624210|g_GameErrorContext|global
00626218|g_Chain|global
00626258|g_Pbg4Archive|global
00626270|g_GameManager|global
0062f8b4|g_GameManagerCalcChain|global
0062f8d4|g_GameManagerDrawChain|global
0062f8f4|g_GuiDrawChain|global
0062f914|g_GuiCalcChain|global
0062f934|g_BulletManagerDrawChain|global
0062f958|g_BulletManager|global
009a9abc|g_BulletManagerCalcChain|global
009a9adc|g_EnemyManagerDrawChain1|global
009a9b00|g_EnemyManager|global
012fe210|g_EnemyManagerCalcChain|global
012fe230|g_EnemyManagerDrawChain2|global
012fe250|g_EffectManager|global
013478f8|g_EffectManagerCalcChain|global
01347918|g_EffectManagerDrawChain|global
01347938|g_EclManager|global
01347aa0|g_GlobalEclVars|global
01347ac0|g_UnusedChain|global
01347ae0|g_StageOnDrawHighPrioChain|global
01347b00|g_Stage|global
0134cdb4|g_StageOnDrawLowPrioChain|global
0134cdd4|g_StageCalcChain|global
0134cdf4|g_AsciiManagerOnDrawMenusChain|global
0134ce18|g_AsciiManager|global
0135dfac|g_AsciiManagerCalcChain|global
0135dfcc|g_AsciiManagerOnDrawPopupsChain|global
0135dfec|g_FpsUpdateCounter|global
0135dff0|g_FpsCounterBuffer2|global
0135e0f0|g_FpsCounterBuffer|global
0135e1f0|g_NumFramesSinceLastTime|global
0135e1f4|g_Mutex|global
0135e1f8|g_TickCountToEffectiveFramerate|global
0135e200|g_LastFrameTime|global
0135e208|g_LastPerfCounter|global
0135e210|g_PerfCounter|global
0135e218|g_ControllerData|global
0135e298|g_PerformanceCounter|global
0135e2a0|g_LastTime|global
0135e2a4|g_LastTimeIsSet|global
0135e2a8|g_MusicRoom|global
01363eac|g_MusicRoomExists|global
01363fc4|CodePage_01363fc4|global
0136510c|uNumber_0136510c|global
01365228|lpMem_01365228|global
0136523c|hHeap_0136523c|global
