address|text|type
00490550|PM|string
00490554|AM|string
0049058c|July|string
00490594|June|string
004905ac|February|string
004905b8|January|string
004905c0|Dec|string
004905c4|Nov|string
004905c8|Oct|string
004905cc|Sep|string
004905d0|Aug|string
004905d4|Jul|string
004905d8|Jun|string
004905dc|May|string
004905e0|Apr|string
004905e4|Mar|string
004905e8|Feb|string
004905ec|Jan|string
00490634|Sat|string
00490638|Fri|string
0049063c|Thu|string
00490640|Wed|string
00490644|Tue|string
00490648|Mon|string
0049064c|Sun|string
00490650|a/p|string
004912b0|pow|string
004912b4|exp|string
00491320|exp2|string
00495084|ファイル %s のオープン中にエラーが発生しました\r\n|string
0049523c|a|string
00495240|w|string
00495244|r|string
00495634|リプレイデータが異常\r\n|string
0049564c|../|string
00495698|おおよそ終了します|string
004956ac|初期設定に戻します|string
004956c0|ショット押しっぱなしで低速移動になるようにします|string
004956f4|右移動ボタンを設定します|string
00495710|左移動ボタンを設定します|string
0049572c|下移動ボタンを設定します|string
00495748|上移動ボタンを設定します|string
00495764|ポーズボタンを設定します|string
00495780|メッセージスキップボタンを設定します|string
004957a8|低速移動ボタンを設定します|string
004957c4|ボム、キャンセルボタンを設定します|string
004957e8|ショット、決定ボタンを設定します|string
0049581c|おいそれと終了します|string
00495834|パッド操作のボタン配置を変更します|string
00495858|全て初期設定にします|string
00495870|弾が多い場面でわざと処理落ちさせます(スコア、リプレイ記録不可)|string
004958b0|ウィンドウかフルスクリーンか選択します|string
004958d8|効果音を再生するか選択します|string
004958f8|ＢＧＭの再生方法を変更します。（初期設定　ＷＡＶ）|string
0049592c|画面の色数を変更します。３２ＢＩＴだと最も綺麗に表示されます。|string
0049596c|プレイヤーの初期数を変更します。（初期設定　３）|string
004959dc|いろいろと終了します|string
004959f4|各種設定できます|string
00495a08|音楽を聴けます|string
00495a18|過去のスコアやスペルカードの取得歴を見られます|string
00495a48|リプレイを鑑賞できます|string
00495a60|ステージを選択し、練習を開始します|string
00495a84|エキストラステージを開始します|string
00495aa4|ゲームを開始します|string
00495b30|%sが読み込めないです。\r\n|string
00495b4c|アニメが格納できません。テーブルが不足しています\r\n|string
00495b80|スプライトが格納できません。テーブルが不足しています\r\n|string
00495bb8|テクスチャが読み込めません。データが失われてるか壊れています\r\n|string
00495bf8|テクスチャ %s が読み込めません。データが失われてるか壊れています\r\n|string
00495c3c|アニメのバージョンが違います\r\n|string
00495c5c|テクスチャ格納先が足りません\r\n|string
00495c7c|アニメが読み込めません。データが失われてるか壊れています\r\n|string
00495cb8|error : イメージがαを持っていません\r\n|string
00495cf4|atention : ストリーミング用スレッドは終了しました。\r\n|string
00495e78|error : Sound ファイルが読み込めない データを確認 %s\r\n|string
00495f70|error : ストリーミング用サウンドバッファを作成出来ませんでした\r\n|string
00495fcc|data|string
00495fd4|fmt |string
00495fdc|Wav ファイルじゃない? %s\r\n|string
00495ff8|WAVE|string
00496000|Wav ファイルじゃない %s\r\n|string
0049601c|RIFF|string
00496024|DirectSound は正常に初期化されました\r\n|string
0049604c|DirectSound オブジェクトの初期化が失敗したよ\r\n|string
0049607c|data/wav/se_pause.wav|string
004963c0|DMYS|string
004964a8|%8s|string
004964ac|    |string
00496508|  Phantasm|string
00496550|%9d|string
00496554|リトライ回数  　 %6d %6d %6d %6d %6d %6d|string
00496580|リトライ回数  　 %6d %6d %6d %6d %6d %6d %6d|string
004965b0|プラクティス　   %6d %6d %6d %6d %6d %6d|string
004965dc|プラクティス　   %6d %6d %6d %6d %6d %6d %6d|string
0049660c|コンティニュー   %6d %6d %6d %6d %6d %6d|string
00496638|コンティニュー   %6d %6d %6d %6d %6d %6d %6d|string
00496668|クリア回数  　　 %6d %6d %6d %6d %6d %6d|string
00496694|クリア回数  　　 %6d %6d %6d %6d %6d %6d %6d|string
00496700|プレイ回数　　　 　Easy 　Norm 　Hard 　Luna  Extra  Total|string
00496740|プレイ回数　　　 　Easy 　Norm 　Hard 　Luna  Extra Phants  Total|string
00496784|総プレイ時間 %.2d:%.2d:%.2d|string
004967a0|総起動時間   %.2d:%.2d:%.2d|string
004967e4|HSCR|string
004967ec|%s %3d枚中%3d枚取得（キャラ切り替え↓↑）|string
00496818|？？？？？|string
00496938|全主人公合計  　|string
0049694c|十六夜 咲夜 (時)|string
00496960|十六夜 咲夜 (幻)|string
00496974|霧雨 魔理沙 (恋)|string
00496988|霧雨 魔理沙 (魔)|string
0049699c|博麗 霊夢 (夢)　|string
004969b0|博麗 霊夢 (霊)　|string
00496aa8|T7RP|string
00496c04|%2d.|string
00496c18|debug|string
00496c1e||string
00496c20|フォルダが書込み禁止属性になっているか、ディスクがいっぱいいっぱいになってませんか？\r\n|string
00496c78|ファイルが書き出せません %s\r\n|string
00496c98|垂直同期を取りません\r\n|string
00496cb0|ＢＧＭをメモリに読み込みます\r\n|string
