address|text|type|size
0048d6a3|>read error|string|13
0048d6d8|1.0.5|string|6
0048da74|Application transferred too many scanlines|string|43
0048daa0|Invalid SOS parameters for sequential JPEG|string|43
0048dacc|Corrupt JPEG data: found marker 0x%02x instead of RST%d|string|56
0048db04|Premature end of JPEG file|string|27
0048db20|Warning: unknown JFIF revision number %d.%02d|string|46
0048db50|Corrupt JPEG data: bad Huffman code|string|36
0048db74|Corrupt JPEG data: premature end of data segment|string|49
0048dba8|Corrupt JPEG data: %u extraneous bytes before marker 0x%02x|string|60
0048dbe8|Inconsistent progression sequence for component %d coefficient %d|string|66
0048dc2c|Unknown Adobe color transform code %d|string|38
0048dc54|Obtained XMS handle %u|string|23
0048dc6c|Freed XMS handle %u|string|20
0048dc80|Unrecognized component IDs %d %d %d, assuming YCbCr|string|52
0048dcb4|Opened temporary file %s|string|25
0048dcd0|Closed temporary file %s|string|25
0048dcec|  Ss=%d, Se=%d, Ah=%d, Al=%d|string|29
0048dd0c|    Component %d: dc=%d ac=%d|string|30
0048dd2c|Start Of Scan: %d components|string|29
0048dd4c|Start of Image|string|15
0048dd5c|    Component %d: %dhx%dv q=%d|string|31
0048dd7c|Start Of Frame 0x%02x: width=%u, height=%u, components=%d|string|58
0048ddb8|Smoothing not supported with nonstandard sampling ratios|string|57
0048ddf4|RST%d|string|6
0048ddfc|At marker 0x%02x, recovery action %d|string|37
0048de24|Selected %d colors for quantization|string|36
0048de48|Quantizing to %d colors|string|24
0048de60|Quantizing to %d = %d*%d*%d colors|string|35
0048de84|        %4u %4u %4u %4u %4u %4u %4u %4u|string|40
0048deac|Unexpected marker 0x%02x|string|25
0048dec8|Skipping marker 0x%02x, length %u|string|34
0048deec|    with %d x %d thumbnail image|string|33
0048df10|Unknown JFIF minor revision number %d.%02d|string|43
0048df3c|Warning: thumbnail image size does not match data length %u|string|60
0048df78|JFIF APP0 marker, density %dx%d  %d|string|36
0048df9c|        %3d %3d %3d %3d %3d %3d %3d %3d|string|40
0048dfc4|End Of Image|string|13
0048dfd4|Obtained EMS handle %u|string|23
0048dfec|Freed EMS handle %u|string|20
0048e000|Define Restart Interval %u|string|27
0048e01c|Define Quantization Table %d  precision %d|string|43
0048e048|Define Huffman Table 0x%02x|string|28
0048e064|Define Arithmetic Table 0x%02x: 0x%02x|string|39
0048e08c|Unknown APP14 marker (not Adobe), length %u|string|44
0048e0b8|Unknown APP0 marker (not JFIF), length %u|string|42
0048e0e8|Adobe APP14 marker: version %d, flags 0x%04x 0x%04x, transform %d|string|66
0048e12c|Caution: quantization tables are too coarse for baseline JPEG|string|62
0048e16c|6a  7-Feb-96|string|13
0048e17c|Copyright (C) 1996, Thomas G. Lane|string|35
0048e1a0|Write to XMS failed|string|20
0048e1b4|Read from XMS failed|string|21
0048e1cc|Image too wide for this implementation|string|39
0048e1f4|Virtual array controller messed up|string|35
0048e218|Unsupported marker type 0x%02x|string|31
0048e238|Application transferred too few scanlines|string|42
0048e264|Write failed on temporary file --- out of disk space?|string|54
0048e29c|Seek failed on temporary file|string|30
0048e2bc|Read failed on temporary file|string|30
0048e2dc|Failed to create temporary file %s|string|35
0048e300|Invalid JPEG file structure: SOS before SOF|string|44
0048e32c|Invalid JPEG file structure: two SOI markers|string|45
0048e35c|Unsupported JPEG process: SOF type 0x%02x|string|42
0048e388|Invalid JPEG file structure: missing SOS marker|string|48
0048e3b8|Invalid JPEG file structure: two SOF markers|string|45
0048e3e8|Cannot quantize to more than %d colors|string|39
0048e410|Cannot quantize to fewer than %d colors|string|40
0048e438|Cannot quantize more than %d color components|string|46
0048e468|Insufficient memory (case %d)|string|30
0048e488|Not a JPEG file: starts with 0x%02x 0x%02x|string|43
0048e4b4|Quantization table 0x%02x was not defined|string|42
0048e4e0|JPEG datastream contains no image|string|34
0048e504|Huffman table 0x%02x was not defined|string|37
0048e52c|Backing store not supported|string|28
0048e548|Requested feature was omitted at compile time|string|46
0048e578|Not implemented yet|string|20
0048e58c|Invalid color quantization mode change|string|39
0048e5b4|Scan script does not transmit all data|string|39
0048e5dc|Cannot transcode due to multiple use of quantization table %d|string|62
0048e61c|Premature end of input file|string|28
0048e638|Empty input file|string|17
0048e64c|Maximum supported image dimension is %u pixels|string|47
0048e67c|Missing Huffman code table entry|string|33
0048e6a0|Huffman code size table overflow|string|33
0048e6c4|Fractional sampling not implemented yet|string|40
0048e6ec|Output file write error --- out of disk space?|string|47
0048e71c|Input file read error|string|22
0048e734|Didn\'t expect more than one scan|string|33
0048e758|Write to EMS failed|string|20
0048e76c|Read from EMS failed|string|21
0048e784|Empty JPEG image (DNL not supported)|string|37
0048e7ac|Bogus DQT index %d|string|19
0048e7c0|Bogus DHT index %d|string|19
0048e7d4|Bogus DHT counts|string|17
0048e7e8|Bogus DAC value 0x%x|string|21
0048e800|Bogus DAC index %d|string|19
0048e814|Unsupported color conversion request|string|37
0048e83c|Too many color components: %d, max %d|string|38
0048e864|CCIR601 sampling not implemented yet|string|37
0048e88c|Suspension not allowed here|string|28
0048e8a8|Buffer passed to JPEG library is too small|string|43
0048e8d4|Bogus virtual array access|string|27
0048e8f0|JPEG parameter struct mismatch: library thinks size is %u, caller expects %u|string|77
0048e940|Improper call to JPEG library in state %d|string|42
0048e96c|Invalid scan script at entry %d|string|32
0048e98c|Bogus sampling factors|string|23
0048e9a4|Invalid progressive parameters at scan script entry %d|string|55
0048e9dc|Invalid progressive parameters Ss=%d Se=%d Ah=%d Al=%d|string|55
0048ea14|Unsupported JPEG data precision %d|string|35
0048ea38|Invalid memory pool code %d|string|28
0048ea54|Sampling factors too large for interleaved scan|string|48
0048ea84|Wrong JPEG library version: library is %d, caller expects %d|string|61
0048eac4|Bogus marker length|string|20
0048ead8|Bogus JPEG colorspace|string|22
0048eaf0|Bogus input colorspace|string|23
0048eb08|IDCT output block size %d not supported|string|40
0048eb30|Invalid component ID %d in SOS|string|31
0048eb50|Bogus buffer control mode|string|26
0048eb6c|MAX_ALLOC_CHUNK is wrong, please fix|string|37
0048eb94|ALIGN_TYPE is wrong, please fix|string|32
0048ebb4|Sorry, there are legal restrictions on arithmetic coding|string|57
0048ebf0|Bogus message code %d|string|22
0048ec08|0123456789ABCDEF1.0.5|string|22
0048ec5c|IHDR|string|5
0048ec64|IDAT|string|5
0048ec6c|IEND|string|5
0048ec71||string|1
0048ec72||string|1
0048ec73||string|1
0048ec74|PLTE|string|5
0048ec79||string|1
0048ec7a||string|1
0048ec7b||string|1
0048ec7c|gAMA|string|5
0048ec81||string|1
0048ec82||string|1
0048ec83||string|1
0048ec84|sRGB|string|5
0048ec89||string|1
0048ec8a||string|1
0048ec8b||string|1
0048ec8c|tRNS|string|5
0048ec91||string|1
0048ec92||string|1
0048ec93||string|1
0048ec94|zlib version error|string|19
0048eca8|zlib memory error|string|18
0048ecbc|Unknown zlib error|string|19
0048ecd0|1.1.3|string|6
0048ecd8|Incompatible libpng version in application and library|string|55
0048ed10|Missing PLTE before IDAT|string|25
0048ed2c|Missing IHDR before IDAT|string|25
0048ed48|PNG file corrupted by ASCII conversion|string|39
0048ed70|Not a PNG file|string|15
0048ed80|Extra compressed data|string|22
0048ed98|Decompression error|string|20
0048edac|Not enough image data|string|22
0048edc4|Invalid attempt to read row data|string|33
